epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,559.257,0.62613,0.52742,1.12234,0.87561,0.80433,0.85467,0.67575,0.93877,0.74539,1.64297,0.000248772,0.000248772,0.000248772
43,572.144,0.62754,0.51572,1.11777,0.8789,0.75727,0.82978,0.67451,0.90211,0.81221,1.58799,0.000236083,0.000236083,0.000236083
44,582.701,0.59614,0.5012,1.08608,0.83503,0.72309,0.82442,0.65945,0.91207,0.83041,1.68482,0.000223395,0.000223395,0.000223395
45,594.46,0.62772,0.51332,1.11881,0.75604,0.80283,0.8242,0.65919,0.92887,0.77486,1.70814,0.000210706,0.000210706,0.000210706
46,607.256,0.63363,0.53461,1.10418,0.85993,0.79413,0.83636,0.67809,0.91224,0.72135,1.65467,0.000198018,0.000198018,0.000198018
47,618.338,0.60533,0.4831,1.08198,0.90317,0.78287,0.82997,0.67809,0.89824,0.65549,1.62284,0.000185329,0.000185329,0.000185329
48,629.204,0.60126,0.49551,1.10928,0.89239,0.78391,0.83603,0.70125,0.85277,0.63973,1.54602,0.000172641,0.000172641,0.000172641
49,641.294,0.59291,0.48395,1.07153,0.88064,0.78642,0.84084,0.69082,0.88186,0.65393,1.56796,0.000159952,0.000159952,0.000159952
50,654.146,0.60226,0.46443,1.0838,0.83544,0.83577,0.82918,0.66791,0.92645,0.70442,1.67944,0.000147264,0.000147264,0.000147264
51,673.021,0.48833,0.44946,1.08021,0.85487,0.80379,0.83134,0.67924,0.92719,0.67969,1.72298,0.000134575,0.000134575,0.000134575
52,683.984,0.48597,0.41951,1.04594,0.88279,0.77071,0.84875,0.70235,0.89832,0.69783,1.64075,0.000121887,0.000121887,0.000121887
53,696.013,0.46061,0.37232,1.02124,0.88225,0.79413,0.86664,0.70184,0.87533,0.67588,1.57529,0.000109198,0.000109198,0.000109198
54,706.451,0.46497,0.36732,1.03946,0.85364,0.82719,0.84071,0.68392,0.85818,0.69777,1.54873,9.65095e-05,9.65095e-05,9.65095e-05
55,718.441,0.46141,0.36053,1.01037,0.85019,0.8004,0.84724,0.69357,0.84279,0.68946,1.52478,8.3821e-05,8.3821e-05,8.3821e-05
56,729.975,0.43421,0.34463,1.00932,0.85265,0.78284,0.85211,0.69326,0.85994,0.68196,1.55676,7.11325e-05,7.11325e-05,7.11325e-05
57,741.992,0.41098,0.33752,1.01019,0.84009,0.79282,0.85555,0.70064,0.87721,0.69967,1.56848,5.8444e-05,5.8444e-05,5.8444e-05
58,753.279,0.43157,0.31889,1.02967,0.82146,0.80157,0.85789,0.70664,0.86204,0.70969,1.5289,4.57555e-05,4.57555e-05,4.57555e-05
59,765.499,0.42131,0.33893,0.99983,0.83516,0.83605,0.86019,0.70657,0.85204,0.69914,1.5079,3.3067e-05,3.3067e-05,3.3067e-05
60,776.391,0.4358,0.30599,0.98817,0.84859,0.83366,0.8584,0.70773,0.8679,0.6981,1.53959,2.03785e-05,2.03785e-05,2.03785e-05
